case_id,ttb_id,is_import,labeled_by,expected_verdict,actual_verdict,expected_action,actual_action,brand_name_expected,brand_name_actual,brand_name_reason,brand_name_observed,class_type_expected,class_type_actual,class_type_reason,class_type_observed,alcohol_content_expected,alcohol_content_actual,alcohol_content_reason,alcohol_content_observed,net_contents_expected,net_contents_actual,net_contents_reason,net_contents_observed,producer_name_address_expected,producer_name_address_actual,producer_name_address_reason,producer_name_address_observed,country_of_origin_expected,country_of_origin_actual,country_of_origin_reason,country_of_origin_observed,government_warning_expected,government_warning_actual,government_warning_reason,government_warning_observed
ttb_18215001000088,18215001000088,False,,match,needs_review,accept,request_better_image,match,match,normalized_match,KENTUCKY GENTLEMAN,match,mismatch,wrong_value,"GENTLEMAN Kentucky Bourbon Whiskey With Natural Hlavors BOTTLED BY BARTONDISTILLING COMPANY, LOUISVILLE,KENTUCKY",match,match,normalized_match,40%ALC/VOL80PROOF),match,needs_review,unreadable,,match,mismatch,wrong_value,Since1879,not_applicable,not_applicable,not_applicable,,match,needs_review,unreadable,
ttb_18150001000088,18150001000088,False,,match,needs_review,accept,request_better_image,match,mismatch,wrong_value,BIG SKY BLUE,match,mismatch,wrong_value,SKY BLUE Limited Edition-CaskStrength 121 .PROOF XBLUE MONTANA STRAIGHT BOURBON WHISKEY,match,match,normalized_match,750ML60.5%ALC/VOL,match,needs_review,unreadable,,match,needs_review,unreadable,,not_applicable,not_applicable,not_applicable,,match,needs_review,unreadable,
ttb_18136001000594,18136001000594,False,,match,needs_review,accept,request_better_image,match,needs_review,unreadable,,match,needs_review,unreadable,,match,needs_review,unreadable,,match,needs_review,unreadable,,match,needs_review,unreadable,,not_applicable,needs_review,unreadable,,match,needs_review,unreadable,
ttb_18151001000645,18151001000645,False,,match,needs_review,accept,request_better_image,match,mismatch,wrong_value,GOVERNMENTWARNING:(I),match,mismatch,wrong_value,"ADIRONDACK According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because DISTILLING COMPANY Hand-Crafted Epirits of the risk of birth defects. (2 Consumption of alcoholic SPECIAL beverages impairs your ability to Our 601 Special Series Bourbon Whisky finished in maple bourbon 601 drive a car oroperate machinery, and barrels represents a collaboration of the craftsmanship of two NY State may cause health problems. companies. SERIES DISTILLED &BOTTLED BY For a few years now spent 601 Bourbon barrels were filled with maple BOURBON WHISKY FINISHED ADIRONDACK DISTILLING COMPANY syrup at local farms creating delicious Bourbon Barrel Finished Maple Syrup.This year after harvesting their syrupwe re introduced 601 IN MAPLE BOURBON BARRELS 601Varick StreetUticaNY 13502 Bourbon into the maple-saturated barrels drawing the maple out of adirondackdistilling.com the barrel's wood.This unique Cask process of instilling maple syrup back into our award-winning bourbon created our 601 Special Series",match,match,normalized_match,ALC45%VOL375ML,match,needs_review,unreadable,,match,mismatch,wrong_value,GLUTEN FREE Bourbon Whisky finished in Maple Bourbon Barrels. 100%corn based No artificial flavor or color- just genuine goodness. 5171100483,not_applicable,not_applicable,not_applicable,,match,needs_review,unreadable,
ttb_18256001000315,18256001000315,False,,match,needs_review,accept,request_better_image,match,mismatch,wrong_value,KENTUCKY STRAIGHT BOURBON WHISKEY,match,mismatch,wrong_value,BOURBON WHISKEY IBER,match,match,normalized_match,53%ALC/VOL106PROOF,match,match,normalized_match,750 ml,match,mismatch,wrong_value,750 ml,not_applicable,not_applicable,not_applicable,,match,needs_review,unreadable,
ttb_18144001000153,18144001000153,False,,match,needs_review,accept,request_better_image,match,match,normalized_match,SPIRITS OF FRENCH LICK,match,mismatch,wrong_value,OPERATE MACHINERY.AND MAY CAUSE HEALTH PROBLEMS Lee W.Sinclair was a Hoosier with,match,match,normalized_match,45%ALC.BYVOL750ML,match,needs_review,unreadable,,match,mismatch,wrong_value,OF ALCOHOLIC BEVERAGES IMPAIRS YOUR ABILITY TO DRIVE A CAR OR PREGNANCY BECAUSE OF THE RISK OF BIRTH DEFECTS. (2 CONSUMPTION GENERAL. WOMEN SHOULD NOT DRINK ALCOHOLIC BEVERAGES DURING,not_applicable,not_applicable,not_applicable,,match,needs_review,unreadable,
ttb_18276001000733,18276001000733,False,,match,needs_review,accept,request_better_image,match,needs_review,unreadable,,match,needs_review,unreadable,,match,needs_review,unreadable,,match,needs_review,unreadable,,match,needs_review,unreadable,,not_applicable,needs_review,unreadable,,match,needs_review,unreadable,
ttb_18361001000270,18361001000270,False,,match,needs_review,accept,request_better_image,match,match,normalized_match,ROCK TOWN,match,needs_review,unreadable,,match,match,normalized_match,46% ALC/V0L750ML,match,needs_review,unreadable,,match,mismatch,wrong_value,"PHIL BRANDON,HEADDISTILLER",not_applicable,not_applicable,not_applicable,,match,needs_review,unreadable,
ttb_18046001000210,18046001000210,False,ivanma,match,needs_review,accept,request_better_image,match,match,normalized_match,SINGLE CASK,match,mismatch,wrong_value,"DISTILLED BY WILD TURKEYDISTILLERY CASK AGED 9 YEARS IN NEWCHARRED AMERICAN OAK NATION SINGLE est.2011 CASK#536-RICKHOUSE D,5THFLOOR THIS CASK HAS BEEN SELECTED DISTILLED DECEMBER 2008 AND BOTTLED BY JEWISH WHISKY COMPANY CASK BOTTLEDMARCH2018 BARDSTOWN,KY ONE OF 160 BOTTLES FLORAL SWEET NATION",match,match,normalized_match,750ML57.4%ALCBYVOL,match,needs_review,unreadable,,match,mismatch,wrong_value,"RICH ACLASSICREPRESENTATION OF NUTTY THE MODERN WILDTURKEY SPICY HOUSE STYLE BUT WITH EARTHY WILD TURKEY 9 YEARS INTERESTING AND UNEXPECTED OLD NOTES OF RICKHOUSE FLOORS SMOKY 750ML57.4%ALCBYVOL CANDIED LIME PEELS, WOODY CARDAMON,AND FRESH ANJOU KENTUCKYSTRAIGHT",not_applicable,not_applicable,not_applicable,,match,mismatch,warning_text_mismatch,"1ACCORDING TO THE SUR PEARS WOMEN SHOULD NOT DRINK ALCOHOLIC BEVER BOURBON WHISKEY DISTILLED AND MATURED IN PREGNANCY BECAUSE OF THE RISK OF BIRTHDEFECTS.(2CONSUMPTIO OF ALCOHOLIC BEVERAGES IMPAIRS YOUR ABILITY TO DRIVE A CAR LAWRENCEBURG,KY OR OPERATE MACHINERY,AND MAY CAUSE HEALTH PROBLEMS. NON-CHILL FILTERED-FULL CASK STRENGTH Join us at: www.singlecasknation.com email us at: info@singlecasknation.com Podcast:onenationunderwhisky.com"
ttb_18225001000729,18225001000729,False,,match,needs_review,accept,request_better_image,match,mismatch,wrong_value,BATCH SERIES,match,mismatch,wrong_value,SERIES INEST QUAT AN EVOLVING EXPLORATION IN BOURBON MATURATION AGED 25 YEARS OHO IMA RENTUCRYSTRAIGHT BOURBON WHISKEY,match,match,normalized_match,45.5%ALC/V0L 750mL 91PR00F,match,match,normalized_match,45.5%ALC/V0L 750mL 91PR00F,match,needs_review,unreadable,,not_applicable,not_applicable,not_applicable,,match,needs_review,unreadable,
ttb_18124001000827,18124001000827,False,,match,needs_review,accept,request_better_image,match,needs_review,unreadable,,match,needs_review,unreadable,,match,needs_review,unreadable,,match,needs_review,unreadable,,match,needs_review,unreadable,,not_applicable,needs_review,unreadable,,match,needs_review,unreadable,
ttb_18102001001000,18102001001000,False,,match,needs_review,accept,request_better_image,match,match,normalized_match,PEACH STREET,match,needs_review,unreadable,,match,match,normalized_match,LORAD0/46%ALC.7V0L.(92PROOF) 750 ML,match,match,normalized_match,LORAD0/46%ALC.7V0L.(92PROOF) 750 ML,match,needs_review,unreadable,,not_applicable,not_applicable,not_applicable,,match,needs_review,unreadable,
ttb_18269001000209,18269001000209,True,,match,needs_review,accept,request_better_image,match,mismatch,wrong_value,BEAST MASTERS CLUB ARMAGNAC,match,mismatch,wrong_value,CLUB ARMAGNAC Appellation Armagnac controlee ArmagnacTenareze Distilled in 1988 by CHATEAU DE LEBERON Aged 30 Years in a French Oak Barrel 200 Bottles No Additives ~ Cask Strength CHATEAU DE PMSPIRITS LEBERON PROVIDER OF GEEKY SPIRITS,match,match,normalized_match,44.9% Alc.by Vol.,match,match,normalized_match,750ml,match,mismatch,wrong_value,750ml Product of France A PM Spirits Project,match,match,exact_match,France,match,needs_review,unreadable,
ttb_18046001000056,18046001000056,True,ivanma,match,needs_review,accept,request_better_image,match,needs_review,unreadable,,match,needs_review,unreadable,,match,match,normalized_match,Alc. 40% by Vol.,match,match,normalized_match,750ml,match,mismatch,wrong_value,750ml,match,mismatch,missing_required,,match,needs_review,unreadable,
ttb_18291001000107,18291001000107,True,,match,needs_review,accept,request_better_image,match,match,normalized_match,Darros,match,mismatch,wrong_value,COLLE/CTION Darros BAS-ARMAGNAC DISTILLEDIN 1990 DOMAINE DE BARIGOS,match,match,normalized_match,45.3%alc.byvol,match,match,normalized_match,750ml,match,mismatch,wrong_value,750ml,match,mismatch,missing_required,,match,needs_review,unreadable,
ttb_18310001000730,18310001000730,True,,match,needs_review,accept,request_better_image,match,needs_review,unreadable,,match,needs_review,unreadable,,match,needs_review,unreadable,,match,needs_review,unreadable,,match,needs_review,unreadable,,match,needs_review,unreadable,,match,needs_review,unreadable,
ttb_18043001000147,18043001000147,True,ivanma,match,needs_review,accept,request_better_image,match,match,normalized_match,HENNESSY,match,needs_review,unreadable,,match,match,normalized_match,43%ALC./VOL.,match,match,normalized_match,750ML,match,needs_review,unreadable,,match,mismatch,missing_required,,match,needs_review,unreadable,
ttb_18053001000648,18053001000648,True,,match,needs_review,accept,request_better_image,match,needs_review,unreadable,,match,needs_review,unreadable,,match,needs_review,unreadable,,match,needs_review,unreadable,,match,needs_review,unreadable,,match,needs_review,unreadable,,match,needs_review,unreadable,
ttb_18199001000406,18199001000406,True,,match,needs_review,accept,request_better_image,match,match,normalized_match,COGNAC,match,mismatch,wrong_value,PRODUE FERANCE EFRANCI LATRUFFE COGNAC APPELLATION COGNAC CONTROLEE V.S,match,match,normalized_match,50ML40%.ALC/V0,match,needs_review,unreadable,,match,needs_review,unreadable,,match,mismatch,missing_required,,match,needs_review,unreadable,
ttb_18345001001058,18345001001058,False,,match,needs_review,accept,request_better_image,match,mismatch,wrong_value,3.25in SInCE 2010 SSANGRIAK,match,needs_review,unreadable,,match,match,normalized_match,14%,match,match,normalized_match,750 ML,match,mismatch,wrong_value,"750 ML YAUCO, PR ALC/NOL",not_applicable,not_applicable,not_applicable,,match,needs_review,unreadable,
ttb_18250001000290,18250001000290,True,,match,needs_review,accept,request_better_image,match,match,normalized_match,KARDASI,match,mismatch,wrong_value,OFTYRNAVOS family KARDASI 750ml,match,match,normalized_match,Alc.40.0% byVol,match,match,normalized_match,750ml,match,mismatch,wrong_value,PRODUCED &BOTTLED: by KARDASI DISTILLERY-TYRNAVOS -GREECE,match,mismatch,missing_required,,match,needs_review,unreadable,
ttb_18074001000816,18074001000816,True,,match,needs_review,accept,request_better_image,match,match,normalized_match,DANO'SDANGEROUS,match,mismatch,wrong_value,Pineapple & Jalapeno TEOUILA WITHNATURALFLAVORS,match,match,normalized_match,36% alc/vol (72 Proof),match,match,normalized_match,750 ML,match,mismatch,wrong_value,"Hecho En Tequila, Mexicc. 36% alc/vol (72 Proof) 750 ML",match,mismatch,missing_required,,match,needs_review,unreadable,
ttb_18346001000649,18346001000649,False,,match,needs_review,accept,request_better_image,match,match,normalized_match,ALLIGATOR BAY DISTILLERS .,match,mismatch,wrong_value,ALLIGATOR BAY DISTILLERS .,match,mismatch,wrong_value,100% FLORIDA HANDCRAFTED,match,needs_review,unreadable,,match,mismatch,wrong_value,"According to the Surgeon General,",not_applicable,not_applicable,not_applicable,,match,mismatch,warning_text_mismatch,"(1) GATOR women should not drink alcoholic HOOCH beverages during pregnancy because of the risk of birth defects. beverages impairs your ability to (2) Consumption of alcoholic drive a car or operate machinery, and may cause health problems. CORN MADE WITH: BARLEY SURGAR CANE DISTILLED& BOTTLEDBY SDISTILLERS ALLIGATOR BAY 100% FLORIDA HANDCRAFTED PUNTA GORDA,FLORIDA SPIRITS DISTILLED FROM GRAIN & CANE ALLIGATORBAYDISTILLERS.COM CHARCOAL FILTERED"
ttb_18157001000341,18157001000341,True,,match,needs_review,accept,request_better_image,match,needs_review,unreadable,,match,needs_review,unreadable,,match,needs_review,unreadable,,match,needs_review,unreadable,,match,needs_review,unreadable,,match,needs_review,unreadable,,match,needs_review,unreadable,
ttb_18029001000772,18029001000772,True,ivanma,match,needs_review,accept,request_better_image,match,needs_review,unreadable,,match,needs_review,unreadable,,match,needs_review,unreadable,,match,needs_review,unreadable,,match,needs_review,unreadable,,match,needs_review,unreadable,,match,needs_review,unreadable,
ttb_18240001000305,18240001000305,False,,match,needs_review,accept,request_better_image,match,mismatch,wrong_value,PRIVATEFIRST CLASSE,match,mismatch,wrong_value,"With a sparkle always in his eye, this spirit is named after Private First Class Raymond Baade, who. served in the U.S. Army from 1944-1946 as part of the XXIV Corps. 40th Division.. During his service, PFC Baade was stationed in Okinawa and later. Korea after Japan's surrender. He remained there until his discharge in 1946. Produced & Bottled by. S  B Farmstead Distillery GRAIN NEUTRAL SPIRITS WITH ARTIFICIAL FLAVOR AND CARAMEL COLOR",match,match,normalized_match,35% ALC/VOL (70 PROOF),match,match,normalized_match,750 ML : IA REFUND 5t,match,mismatch,wrong_value,750 ML : IA REFUND 5t,not_applicable,not_applicable,not_applicable,,match,needs_review,unreadable,
ttb_18087001000765,18087001000765,True,,match,needs_review,accept,request_better_image,match,match,normalized_match,SHI WAN,match,mismatch,wrong_value,# SHI PA! WAN,match,match,normalized_match,ALCOHOL31% BY VOL,match,match,normalized_match,750ml,match,needs_review,unreadable,,match,match,exact_match,CHINA,match,needs_review,unreadable,
ttb_18070001000100,18070001000100,False,,match,needs_review,accept,request_better_image,match,match,normalized_match,GIN WILLIS,match,match,normalized_match,GIN,match,match,normalized_match,40% ALC./VOL (80 PROOF) - 750 ML,match,match,normalized_match,40% ALC./VOL (80 PROOF) - 750 ML,match,mismatch,wrong_value,"100% NEUTRAL SPIRITS DISTILLED FROM GRAIN PRODUCED AND BOTTLED By: GLENCOE DISTILLERY. LLC GLENCOE, NM",not_applicable,not_applicable,not_applicable,,match,needs_review,unreadable,
ttb_18095001001312,18095001001312,True,,match,needs_review,accept,request_better_image,match,match,normalized_match,TOENJOYLIKEME AT ITS,match,needs_review,unreadable,,match,match,normalized_match,13.5%Alc.Vol,match,match,normalized_match,Net.Cont.750 ml.,match,mismatch,wrong_value,13.5%Alc.Vol. Net.Cont.750 ml. (27 Proof) Net.Cont.750 ml. (27 Proof),match,mismatch,missing_required,,match,needs_review,unreadable,
ttb_18208001000648,18208001000648,False,,match,needs_review,accept,request_better_image,match,match,normalized_match,SLEDGE Distillery*,match,needs_review,unreadable,,match,match,normalized_match,35%ALC/VOL,match,match,normalized_match,750ml,match,mismatch,wrong_value,750ml 70PROOF IMITED Batch# Date of Sale OFFERING Bottle# Signature Of Agent,not_applicable,not_applicable,not_applicable,,match,needs_review,unreadable,
ttb_18147001000014,18147001000014,False,,match,needs_review,accept,request_better_image,match,match,normalized_match,"OLE SMOKY DISTILLERY,LLC",match,needs_review,unreadable,,match,match,normalized_match,20%ALC./VOL,match,match,normalized_match,750ml,match,mismatch,wrong_value,Sattinburg Tennessee 54628 00668 STRAWBERRY Spirits Distille www.OleSmoky.com,not_applicable,not_applicable,not_applicable,,match,needs_review,unreadable,
ttb_18122001000360,18122001000360,False,,match,needs_review,accept,request_better_image,match,needs_review,unreadable,,match,needs_review,unreadable,,match,needs_review,unreadable,,match,needs_review,unreadable,,match,needs_review,unreadable,,not_applicable,needs_review,unreadable,,match,needs_review,unreadable,
ttb_18307001000034,18307001000034,False,,match,needs_review,accept,request_better_image,match,needs_review,unreadable,,match,needs_review,unreadable,,match,needs_review,unreadable,,match,needs_review,unreadable,,match,needs_review,unreadable,,not_applicable,needs_review,unreadable,,match,needs_review,unreadable,
